,index,classes,wav_path
55,64,bed,.\train\audio\bed\0ea0e2f4_nohash_0.wav
56,65,bed,.\train\audio\bed\0ea0e2f4_nohash_1.wav
57,66,bed,.\train\audio\bed\0f7dc557_nohash_0.wav
58,67,bed,.\train\audio\bed\0ff728b5_nohash_0.wav
59,68,bed,.\train\audio\bed\102192fd_nohash_0.wav
60,69,bed,.\train\audio\bed\10467b06_nohash_0.wav
61,71,bed,.\train\audio\bed\105e72bb_nohash_0.wav
62,72,bed,.\train\audio\bed\10627519_nohash_0.wav
63,73,bed,.\train\audio\bed\106a6183_nohash_0.wav
64,74,bed,.\train\audio\bed\10ace7eb_nohash_0.wav
65,75,bed,.\train\audio\bed\10c6d873_nohash_0.wav
66,76,bed,.\train\audio\bed\11321027_nohash_0.wav
67,77,bed,.\train\audio\bed\118261a9_nohash_0.wav
68,78,bed,.\train\audio\bed\118261a9_nohash_2.wav
69,79,bed,.\train\audio\bed\11a022ba_nohash_0.wav
70,80,bed,.\train\audio\bed\11b1df78_nohash_0.wav
71,81,bed,.\train\audio\bed\11b1df78_nohash_1.wav
72,83,bed,.\train\audio\bed\12529547_nohash_0.wav
73,84,bed,.\train\audio\bed\126a31d2_nohash_0.wav
74,85,bed,.\train\audio\bed\129c7d8d_nohash_0.wav
75,86,bed,.\train\audio\bed\13199b79_nohash_0.wav
76,87,bed,.\train\audio\bed\1365dd89_nohash_0.wav
77,88,bed,.\train\audio\bed\1365dd89_nohash_1.wav
78,90,bed,.\train\audio\bed\14872d06_nohash_0.wav
79,91,bed,.\train\audio\bed\14872d06_nohash_1.wav
80,92,bed,.\train\audio\bed\14df1e28_nohash_0.wav
81,93,bed,.\train\audio\bed\1528225c_nohash_0.wav
82,95,bed,.\train\audio\bed\1528225c_nohash_2.wav
83,96,bed,.\train\audio\bed\1528225c_nohash_3.wav
84,97,bed,.\train\audio\bed\15b0c947_nohash_0.wav
85,98,bed,.\train\audio\bed\15c371c7_nohash_0.wav
86,99,bed,.\train\audio\bed\15c563d7_nohash_0.wav
87,100,bed,.\train\audio\bed\15d83b54_nohash_0.wav
88,102,bed,.\train\audio\bed\15f04ff8_nohash_0.wav
89,103,bed,.\train\audio\bed\161fcca8_nohash_1.wav
90,104,bed,.\train\audio\bed\1625acd8_nohash_0.wav
91,105,bed,.\train\audio\bed\1625acd8_nohash_1.wav
92,106,bed,.\train\audio\bed\1657c9fa_nohash_0.wav
93,107,bed,.\train\audio\bed\16db1582_nohash_0.wav
94,108,bed,.\train\audio\bed\1706c35f_nohash_0.wav
95,109,bed,.\train\audio\bed\1706c35f_nohash_1.wav
96,111,bed,.\train\audio\bed\1706c35f_nohash_3.wav
97,112,bed,.\train\audio\bed\171b56dc_nohash_0.wav
98,113,bed,.\train\audio\bed\172dc2b0_nohash_0.wav
99,116,bed,.\train\audio\bed\173ae793_nohash_0.wav
100,117,bed,.\train\audio\bed\173ce2be_nohash_0.wav
101,118,bed,.\train\audio\bed\173ce2be_nohash_1.wav
102,119,bed,.\train\audio\bed\1746d7b6_nohash_0.wav
103,120,bed,.\train\audio\bed\179a61b7_nohash_0.wav
104,121,bed,.\train\audio\bed\17c94b23_nohash_0.wav
105,122,bed,.\train\audio\bed\17cc40ee_nohash_0.wav
106,123,bed,.\train\audio\bed\17f0e206_nohash_0.wav
107,124,bed,.\train\audio\bed\17f0e206_nohash_1.wav
108,125,bed,.\train\audio\bed\187af8be_nohash_0.wav
109,126,bed,.\train\audio\bed\1887fe04_nohash_0.wav
110,127,bed,.\train\audio\bed\1890e5c3_nohash_0.wav
111,128,bed,.\train\audio\bed\18a8f03f_nohash_0.wav
112,129,bed,.\train\audio\bed\18a8f03f_nohash_1.wav
113,130,bed,.\train\audio\bed\18a8f03f_nohash_2.wav
114,131,bed,.\train\audio\bed\18c54a68_nohash_0.wav
115,132,bed,.\train\audio\bed\18c54a68_nohash_1.wav
116,133,bed,.\train\audio\bed\18c54a68_nohash_2.wav
117,134,bed,.\train\audio\bed\18c54a68_nohash_3.wav
118,135,bed,.\train\audio\bed\18c54a68_nohash_4.wav
119,136,bed,.\train\audio\bed\190821dc_nohash_0.wav
120,137,bed,.\train\audio\bed\1942abd7_nohash_0.wav
121,138,bed,.\train\audio\bed\19785c4e_nohash_2.wav
122,139,bed,.\train\audio\bed\1993db46_nohash_0.wav
123,140,bed,.\train\audio\bed\1995cf9e_nohash_0.wav
124,141,bed,.\train\audio\bed\19e246ad_nohash_0.wav
125,142,bed,.\train\audio\bed\19f9c115_nohash_0.wav
126,143,bed,.\train\audio\bed\19f9c115_nohash_1.wav
127,144,bed,.\train\audio\bed\19f9c115_nohash_2.wav
128,145,bed,.\train\audio\bed\19f9c115_nohash_3.wav
129,146,bed,.\train\audio\bed\1a073312_nohash_0.wav
130,147,bed,.\train\audio\bed\1a073312_nohash_1.wav
131,148,bed,.\train\audio\bed\1a5b9ca4_nohash_0.wav
132,149,bed,.\train\audio\bed\1a5b9ca4_nohash_1.wav
133,150,bed,.\train\audio\bed\1a673010_nohash_0.wav
134,151,bed,.\train\audio\bed\1a6eca98_nohash_0.wav
135,152,bed,.\train\audio\bed\1a6eca98_nohash_1.wav
136,153,bed,.\train\audio\bed\1a892463_nohash_0.wav
137,154,bed,.\train\audio\bed\1a9afd33_nohash_0.wav
138,156,bed,.\train\audio\bed\1aed7c6d_nohash_1.wav
139,158,bed,.\train\audio\bed\1afd49bf_nohash_1.wav
140,159,bed,.\train\audio\bed\1b459024_nohash_0.wav
141,161,bed,.\train\audio\bed\1b63157b_nohash_0.wav
142,162,bed,.\train\audio\bed\1b755c65_nohash_0.wav
143,163,bed,.\train\audio\bed\1b755c65_nohash_1.wav
144,164,bed,.\train\audio\bed\1bb574f9_nohash_0.wav
145,166,bed,.\train\audio\bed\1bb6ed89_nohash_1.wav
146,167,bed,.\train\audio\bed\1bc45db9_nohash_0.wav
147,168,bed,.\train\audio\bed\1c3f50ad_nohash_0.wav
148,169,bed,.\train\audio\bed\1c45ceb2_nohash_0.wav
149,170,bed,.\train\audio\bed\1c6e5447_nohash_0.wav
150,171,bed,.\train\audio\bed\1cb788bc_nohash_0.wav
151,173,bed,.\train\audio\bed\1cbcc7a7_nohash_0.wav
152,174,bed,.\train\audio\bed\1d1fe0a0_nohash_0.wav
153,175,bed,.\train\audio\bed\1dce06e8_nohash_0.wav
154,176,bed,.\train\audio\bed\1df483c0_nohash_0.wav
155,177,bed,.\train\audio\bed\1df99a8a_nohash_0.wav
156,178,bed,.\train\audio\bed\1df99a8a_nohash_1.wav
157,179,bed,.\train\audio\bed\1e4064b8_nohash_0.wav
158,180,bed,.\train\audio\bed\1e4064b8_nohash_1.wav
159,181,bed,.\train\audio\bed\1e412fac_nohash_0.wav
160,182,bed,.\train\audio\bed\1ecfb537_nohash_0.wav
161,183,bed,.\train\audio\bed\1ed557b9_nohash_0.wav
162,184,bed,.\train\audio\bed\1ffd513b_nohash_0.wav
163,185,bed,.\train\audio\bed\20174140_nohash_0.wav
164,187,bed,.\train\audio\bed\20d3f11f_nohash_0.wav
165,188,bed,.\train\audio\bed\210f3aa9_nohash_0.wav
166,189,bed,.\train\audio\bed\21307344_nohash_0.wav
167,191,bed,.\train\audio\bed\215699ff_nohash_1.wav
168,192,bed,.\train\audio\bed\21832144_nohash_0.wav
169,193,bed,.\train\audio\bed\21cbe292_nohash_0.wav
170,194,bed,.\train\audio\bed\21e8c417_nohash_0.wav
171,195,bed,.\train\audio\bed\229978fd_nohash_0.wav
172,196,bed,.\train\audio\bed\2313e093_nohash_0.wav
173,197,bed,.\train\audio\bed\234ab0fb_nohash_0.wav
174,198,bed,.\train\audio\bed\238c112c_nohash_0.wav
175,199,bed,.\train\audio\bed\23abe1c9_nohash_0.wav
176,200,bed,.\train\audio\bed\23ad12d8_nohash_0.wav
177,201,bed,.\train\audio\bed\24b82192_nohash_0.wav
178,202,bed,.\train\audio\bed\24befdb3_nohash_0.wav
179,203,bed,.\train\audio\bed\24ed94ab_nohash_0.wav
180,204,bed,.\train\audio\bed\24ed94ab_nohash_1.wav
181,206,bed,.\train\audio\bed\2510c044_nohash_0.wav
182,207,bed,.\train\audio\bed\25132942_nohash_0.wav
183,208,bed,.\train\audio\bed\257e17e0_nohash_0.wav
184,210,bed,.\train\audio\bed\25c14394_nohash_0.wav
185,212,bed,.\train\audio\bed\264f471d_nohash_0.wav
186,213,bed,.\train\audio\bed\26e9ae6b_nohash_0.wav
187,215,bed,.\train\audio\bed\26e9ae6b_nohash_2.wav
188,216,bed,.\train\audio\bed\270bfa52_nohash_0.wav
189,217,bed,.\train\audio\bed\274c008f_nohash_0.wav
190,218,bed,.\train\audio\bed\2796ac50_nohash_0.wav
191,219,bed,.\train\audio\bed\27b03931_nohash_0.wav
192,220,bed,.\train\audio\bed\27b9a84f_nohash_0.wav
193,221,bed,.\train\audio\bed\283d7a53_nohash_0.wav
194,223,bed,.\train\audio\bed\28497c5b_nohash_0.wav
195,224,bed,.\train\audio\bed\28612180_nohash_0.wav
196,225,bed,.\train\audio\bed\28612180_nohash_1.wav
197,226,bed,.\train\audio\bed\28612180_nohash_2.wav
198,227,bed,.\train\audio\bed\28ce0c58_nohash_0.wav
199,228,bed,.\train\audio\bed\28e47b1a_nohash_0.wav
200,230,bed,.\train\audio\bed\29fb33da_nohash_0.wav
201,231,bed,.\train\audio\bed\2a0b413e_nohash_0.wav
202,232,bed,.\train\audio\bed\2a89ad5c_nohash_0.wav
203,233,bed,.\train\audio\bed\2aec99ec_nohash_0.wav
204,234,bed,.\train\audio\bed\2aec99ec_nohash_1.wav
205,235,bed,.\train\audio\bed\2b3f509b_nohash_0.wav
206,236,bed,.\train\audio\bed\2bdbe5f7_nohash_0.wav
207,237,bed,.\train\audio\bed\2be08ce4_nohash_0.wav
208,238,bed,.\train\audio\bed\2bfe70ef_nohash_0.wav
209,239,bed,.\train\audio\bed\2c6446f7_nohash_0.wav
210,240,bed,.\train\audio\bed\2c6d3924_nohash_0.wav
211,241,bed,.\train\audio\bed\2c7c33e8_nohash_0.wav
212,242,bed,.\train\audio\bed\2ce7534c_nohash_0.wav
213,243,bed,.\train\audio\bed\2ce7534c_nohash_1.wav
214,244,bed,.\train\audio\bed\2d82a556_nohash_0.wav
215,245,bed,.\train\audio\bed\2d82a556_nohash_1.wav
216,246,bed,.\train\audio\bed\2da58b32_nohash_0.wav
217,247,bed,.\train\audio\bed\2dcb6848_nohash_0.wav
218,248,bed,.\train\audio\bed\2dcb6848_nohash_1.wav
219,249,bed,.\train\audio\bed\2f0a410b_nohash_0.wav
220,250,bed,.\train\audio\bed\300384f0_nohash_0.wav
221,251,bed,.\train\audio\bed\300384f0_nohash_1.wav
222,253,bed,.\train\audio\bed\30137d34_nohash_0.wav
223,254,bed,.\train\audio\bed\305776dd_nohash_0.wav
224,255,bed,.\train\audio\bed\305776dd_nohash_1.wav
225,256,bed,.\train\audio\bed\305776dd_nohash_2.wav
226,257,bed,.\train\audio\bed\30802c5d_nohash_0.wav
227,260,bed,.\train\audio\bed\311fde72_nohash_0.wav
228,261,bed,.\train\audio\bed\31270cb2_nohash_0.wav
229,262,bed,.\train\audio\bed\31270cb2_nohash_1.wav
230,263,bed,.\train\audio\bed\3143fdff_nohash_0.wav
231,264,bed,.\train\audio\bed\31583d30_nohash_0.wav
232,265,bed,.\train\audio\bed\31583d30_nohash_1.wav
233,266,bed,.\train\audio\bed\31583d30_nohash_2.wav
234,267,bed,.\train\audio\bed\31d68957_nohash_0.wav
235,268,bed,.\train\audio\bed\3209ec42_nohash_0.wav
236,269,bed,.\train\audio\bed\3209ec42_nohash_1.wav
237,270,bed,.\train\audio\bed\324210dd_nohash_0.wav
238,271,bed,.\train\audio\bed\325a0c39_nohash_0.wav
239,273,bed,.\train\audio\bed\32efce64_nohash_1.wav
240,274,bed,.\train\audio\bed\32efce64_nohash_2.wav
241,275,bed,.\train\audio\bed\333784b7_nohash_0.wav
242,276,bed,.\train\audio\bed\3389305e_nohash_0.wav
243,277,bed,.\train\audio\bed\338dacf5_nohash_0.wav
244,278,bed,.\train\audio\bed\33f60c62_nohash_0.wav
245,279,bed,.\train\audio\bed\3402e488_nohash_0.wav
246,280,bed,.\train\audio\bed\3411cf4b_nohash_0.wav
247,281,bed,.\train\audio\bed\3411cf4b_nohash_1.wav
248,283,bed,.\train\audio\bed\34263ab3_nohash_1.wav
249,285,bed,.\train\audio\bed\34ba417a_nohash_0.wav
250,286,bed,.\train\audio\bed\34ba417a_nohash_1.wav
251,287,bed,.\train\audio\bed\34ba417a_nohash_2.wav
252,288,bed,.\train\audio\bed\34e8c726_nohash_0.wav
253,289,bed,.\train\audio\bed\34e8c726_nohash_1.wav
254,290,bed,.\train\audio\bed\353b4d33_nohash_0.wav
255,291,bed,.\train\audio\bed\3565ca83_nohash_0.wav
256,292,bed,.\train\audio\bed\35c8fa78_nohash_0.wav
257,293,bed,.\train\audio\bed\35c8fa78_nohash_1.wav
258,294,bed,.\train\audio\bed\35d1b6ee_nohash_0.wav
259,295,bed,.\train\audio\bed\36050ef3_nohash_0.wav
260,296,bed,.\train\audio\bed\364c0853_nohash_0.wav
261,297,bed,.\train\audio\bed\364c0853_nohash_1.wav
262,298,bed,.\train\audio\bed\365531e2_nohash_0.wav
263,299,bed,.\train\audio\bed\36746d7f_nohash_1.wav
264,300,bed,.\train\audio\bed\370844f7_nohash_0.wav
265,301,bed,.\train\audio\bed\37b03ab1_nohash_0.wav
266,302,bed,.\train\audio\bed\37b03ab1_nohash_1.wav
267,303,bed,.\train\audio\bed\37dca74f_nohash_0.wav
268,304,bed,.\train\audio\bed\37e8db82_nohash_0.wav
269,305,bed,.\train\audio\bed\38d78313_nohash_0.wav
270,306,bed,.\train\audio\bed\3903b558_nohash_0.wav
271,307,bed,.\train\audio\bed\39a12648_nohash_0.wav
272,309,bed,.\train\audio\bed\39c13eed_nohash_0.wav
273,310,bed,.\train\audio\bed\39ec87ac_nohash_0.wav
274,311,bed,.\train\audio\bed\3a182c98_nohash_0.wav
275,312,bed,.\train\audio\bed\3a33d3a4_nohash_0.wav
276,313,bed,.\train\audio\bed\3a789a0d_nohash_0.wav
277,314,bed,.\train\audio\bed\3a7d8872_nohash_0.wav
278,315,bed,.\train\audio\bed\3aa6f4e2_nohash_0.wav
279,316,bed,.\train\audio\bed\3ab9ba07_nohash_0.wav
280,317,bed,.\train\audio\bed\3ac2e76f_nohash_0.wav
281,318,bed,.\train\audio\bed\3b852f6f_nohash_0.wav
282,319,bed,.\train\audio\bed\3b852f6f_nohash_1.wav
283,320,bed,.\train\audio\bed\3bc21161_nohash_0.wav
284,321,bed,.\train\audio\bed\3bfd30e6_nohash_0.wav
285,322,bed,.\train\audio\bed\3c257192_nohash_0.wav
286,323,bed,.\train\audio\bed\3c6d55b3_nohash_0.wav
287,324,bed,.\train\audio\bed\3c8dc702_nohash_0.wav
288,325,bed,.\train\audio\bed\3ca784ec_nohash_0.wav
289,326,bed,.\train\audio\bed\3cdecb0b_nohash_0.wav
290,327,bed,.\train\audio\bed\3cdecb0b_nohash_1.wav
291,328,bed,.\train\audio\bed\3cfc6b3a_nohash_0.wav
292,329,bed,.\train\audio\bed\3d53244b_nohash_0.wav
293,330,bed,.\train\audio\bed\3d6bee47_nohash_0.wav
294,331,bed,.\train\audio\bed\3da7f617_nohash_0.wav
295,332,bed,.\train\audio\bed\3df9a3d4_nohash_0.wav
296,333,bed,.\train\audio\bed\3df9a3d4_nohash_1.wav
297,334,bed,.\train\audio\bed\3e31dffe_nohash_0.wav
298,335,bed,.\train\audio\bed\3e3b65eb_nohash_0.wav
299,336,bed,.\train\audio\bed\3e3b65eb_nohash_1.wav
300,337,bed,.\train\audio\bed\3e3fa7fd_nohash_0.wav
301,338,bed,.\train\audio\bed\3eb8764c_nohash_0.wav
302,341,bed,.\train\audio\bed\3ed3e49a_nohash_0.wav
303,342,bed,.\train\audio\bed\3ed3e49a_nohash_1.wav
304,343,bed,.\train\audio\bed\3ed3e49a_nohash_2.wav
305,344,bed,.\train\audio\bed\3ed3e49a_nohash_3.wav
306,345,bed,.\train\audio\bed\3efa7ec4_nohash_0.wav
307,346,bed,.\train\audio\bed\3efa7ec4_nohash_1.wav
308,347,bed,.\train\audio\bed\3efa7ec4_nohash_2.wav
309,348,bed,.\train\audio\bed\3f170018_nohash_0.wav
310,349,bed,.\train\audio\bed\3f2b358d_nohash_0.wav
311,350,bed,.\train\audio\bed\3fb8c268_nohash_0.wav
312,351,bed,.\train\audio\bed\3fdafe25_nohash_0.wav
313,352,bed,.\train\audio\bed\3ff840aa_nohash_0.wav
314,353,bed,.\train\audio\bed\40115b19_nohash_0.wav
315,354,bed,.\train\audio\bed\402e2977_nohash_0.wav
316,356,bed,.\train\audio\bed\409c962a_nohash_0.wav
317,357,bed,.\train\audio\bed\409c962a_nohash_1.wav
318,358,bed,.\train\audio\bed\409c962a_nohash_2.wav
319,359,bed,.\train\audio\bed\413997c1_nohash_0.wav
320,360,bed,.\train\audio\bed\413bcfe1_nohash_0.wav
321,361,bed,.\train\audio\bed\41474817_nohash_0.wav
322,362,bed,.\train\audio\bed\41777abb_nohash_0.wav
323,363,bed,.\train\audio\bed\418e7158_nohash_0.wav
324,364,bed,.\train\audio\bed\41dce6f5_nohash_0.wav
325,366,bed,.\train\audio\bed\42c6fff1_nohash_0.wav
326,367,bed,.\train\audio\bed\42c6fff1_nohash_1.wav
327,368,bed,.\train\audio\bed\42c6fff1_nohash_2.wav
328,370,bed,.\train\audio\bed\42e3f068_nohash_0.wav
329,371,bed,.\train\audio\bed\42e3f068_nohash_1.wav
330,372,bed,.\train\audio\bed\43691f67_nohash_0.wav
331,373,bed,.\train\audio\bed\439c84f4_nohash_0.wav
332,374,bed,.\train\audio\bed\43f57297_nohash_0.wav
333,375,bed,.\train\audio\bed\43f57297_nohash_1.wav
334,376,bed,.\train\audio\bed\43fc47a7_nohash_0.wav
335,377,bed,.\train\audio\bed\44260689_nohash_0.wav
336,378,bed,.\train\audio\bed\44b5720d_nohash_0.wav
337,380,bed,.\train\audio\bed\44b5720d_nohash_2.wav
338,381,bed,.\train\audio\bed\44c201dd_nohash_0.wav
339,382,bed,.\train\audio\bed\460f2bad_nohash_0.wav
340,384,bed,.\train\audio\bed\46114b4e_nohash_1.wav
341,385,bed,.\train\audio\bed\46114b4e_nohash_2.wav
342,386,bed,.\train\audio\bed\4620dc14_nohash_0.wav
343,387,bed,.\train\audio\bed\462e1919_nohash_0.wav
344,388,bed,.\train\audio\bed\462e1919_nohash_1.wav
345,391,bed,.\train\audio\bed\479e64cc_nohash_0.wav
346,392,bed,.\train\audio\bed\479e64cc_nohash_1.wav
347,393,bed,.\train\audio\bed\47d01978_nohash_0.wav
348,394,bed,.\train\audio\bed\4845bb10_nohash_0.wav
349,395,bed,.\train\audio\bed\48463cbc_nohash_0.wav
350,396,bed,.\train\audio\bed\48463cbc_nohash_1.wav
351,397,bed,.\train\audio\bed\48463cbc_nohash_2.wav
352,398,bed,.\train\audio\bed\48a9f771_nohash_0.wav
353,399,bed,.\train\audio\bed\48a9f771_nohash_1.wav
354,401,bed,.\train\audio\bed\48e8b82a_nohash_0.wav
355,402,bed,.\train\audio\bed\493392c6_nohash_0.wav
356,403,bed,.\train\audio\bed\493392c6_nohash_1.wav
357,406,bed,.\train\audio\bed\4a294341_nohash_0.wav
358,407,bed,.\train\audio\bed\4a803e67_nohash_0.wav
359,408,bed,.\train\audio\bed\4a803e67_nohash_1.wav
360,409,bed,.\train\audio\bed\4abb2400_nohash_0.wav
361,410,bed,.\train\audio\bed\4abb2400_nohash_1.wav
362,411,bed,.\train\audio\bed\4abefdf5_nohash_0.wav
363,412,bed,.\train\audio\bed\4b25f620_nohash_0.wav
364,413,bed,.\train\audio\bed\4b25f620_nohash_1.wav
365,414,bed,.\train\audio\bed\4bb1244f_nohash_0.wav
366,415,bed,.\train\audio\bed\4bb1244f_nohash_1.wav
367,416,bed,.\train\audio\bed\4c13fe25_nohash_0.wav
368,417,bed,.\train\audio\bed\4c13fe25_nohash_1.wav
369,419,bed,.\train\audio\bed\4c432947_nohash_0.wav
370,421,bed,.\train\audio\bed\4c432947_nohash_2.wav
371,422,bed,.\train\audio\bed\4c4d2526_nohash_0.wav
372,423,bed,.\train\audio\bed\4c7c95de_nohash_0.wav
373,424,bed,.\train\audio\bed\4c7c95de_nohash_1.wav
374,425,bed,.\train\audio\bed\4c841771_nohash_0.wav
375,426,bed,.\train\audio\bed\4ca37738_nohash_0.wav
376,427,bed,.\train\audio\bed\4ca37738_nohash_1.wav
377,428,bed,.\train\audio\bed\4cb874bb_nohash_0.wav
378,429,bed,.\train\audio\bed\4d9e07cf_nohash_0.wav
379,430,bed,.\train\audio\bed\4def68db_nohash_0.wav
380,431,bed,.\train\audio\bed\4def68db_nohash_1.wav
381,433,bed,.\train\audio\bed\4f086393_nohash_1.wav
382,434,bed,.\train\audio\bed\4f256313_nohash_0.wav
383,435,bed,.\train\audio\bed\4f2ab70c_nohash_0.wav
384,436,bed,.\train\audio\bed\4f8ef132_nohash_0.wav
385,437,bed,.\train\audio\bed\50033893_nohash_0.wav
386,440,bed,.\train\audio\bed\50a7d406_nohash_0.wav
387,441,bed,.\train\audio\bed\50a8ef27_nohash_0.wav
388,442,bed,.\train\audio\bed\50d1c8e3_nohash_0.wav
389,443,bed,.\train\audio\bed\50ed8a7b_nohash_0.wav
390,445,bed,.\train\audio\bed\51055bda_nohash_0.wav
391,446,bed,.\train\audio\bed\512dc91a_nohash_0.wav
392,447,bed,.\train\audio\bed\512dc91a_nohash_1.wav
393,448,bed,.\train\audio\bed\5165cf0a_nohash_0.wav
394,449,bed,.\train\audio\bed\518588b6_nohash_0.wav
395,450,bed,.\train\audio\bed\518588b6_nohash_1.wav
396,451,bed,.\train\audio\bed\518588b6_nohash_2.wav
397,452,bed,.\train\audio\bed\51995cea_nohash_0.wav
398,454,bed,.\train\audio\bed\5236848b_nohash_0.wav
399,455,bed,.\train\audio\bed\529eda42_nohash_0.wav
400,456,bed,.\train\audio\bed\52e228e9_nohash_0.wav
401,457,bed,.\train\audio\bed\531a5b8a_nohash_0.wav
402,458,bed,.\train\audio\bed\531a5b8a_nohash_1.wav
403,459,bed,.\train\audio\bed\533c6564_nohash_0.wav
404,460,bed,.\train\audio\bed\53458368_nohash_0.wav
405,462,bed,.\train\audio\bed\53fd1780_nohash_0.wav
406,463,bed,.\train\audio\bed\541120c7_nohash_0.wav
407,464,bed,.\train\audio\bed\541e4079_nohash_0.wav
408,465,bed,.\train\audio\bed\54412eae_nohash_0.wav
409,466,bed,.\train\audio\bed\54d9ccb5_nohash_0.wav
410,467,bed,.\train\audio\bed\551e42e8_nohash_0.wav
411,468,bed,.\train\audio\bed\553f1a79_nohash_0.wav
412,469,bed,.\train\audio\bed\55d3725a_nohash_0.wav
413,470,bed,.\train\audio\bed\563aa4e6_nohash_0.wav
414,471,bed,.\train\audio\bed\5677ec77_nohash_0.wav
415,472,bed,.\train\audio\bed\5677ec77_nohash_1.wav
416,473,bed,.\train\audio\bed\569455ff_nohash_0.wav
417,474,bed,.\train\audio\bed\56eab10e_nohash_0.wav
418,475,bed,.\train\audio\bed\56eab10e_nohash_1.wav
419,477,bed,.\train\audio\bed\56eab10e_nohash_3.wav
420,478,bed,.\train\audio\bed\56eb74ae_nohash_0.wav
421,479,bed,.\train\audio\bed\5705a0f9_nohash_0.wav
422,481,bed,.\train\audio\bed\57376a4c_nohash_0.wav
423,484,bed,.\train\audio\bed\57b38f48_nohash_0.wav
424,485,bed,.\train\audio\bed\57b38f48_nohash_1.wav
425,486,bed,.\train\audio\bed\57b68383_nohash_0.wav
426,487,bed,.\train\audio\bed\57cb3575_nohash_0.wav
427,488,bed,.\train\audio\bed\57cb3575_nohash_1.wav
428,489,bed,.\train\audio\bed\5828dfa2_nohash_0.wav
429,490,bed,.\train\audio\bed\587f3271_nohash_0.wav
430,491,bed,.\train\audio\bed\587f3271_nohash_1.wav
431,492,bed,.\train\audio\bed\587f3271_nohash_2.wav
432,493,bed,.\train\audio\bed\589bce2c_nohash_0.wav
433,494,bed,.\train\audio\bed\58df33b5_nohash_0.wav
